key,value,
9907616b2e55b8e646096242ca0084d1544b0282,80,
,,
52ba005fd2dda58bcf7c7b423eed874bb360bc3e,1,
,,
763c0a03f4e2b2a647afb0ebb4dc3f7249af6399,1,
,,
3b68152d35f20e6a93f68ddd023b227dc7faef0d,7,
,,
d65fac5be60b3a8bd17fabd7d068cb0c960cd551,3,
,,
2d37cd95471cf03da33fbfe1033b099eb80bf275,2,
,,
2c851c36c4d14faa99779d2387a09fc198dc265d,6,
,,
e1b60ce167fc83129c32019f22b68a3baf6fe330,1,
,,
c42097b2e733aeb2ca69a5c43e9437f6f21ac541,1,
,,
cbfaa1e5e1bdc2be415b5ce381ca828acda5c590,3,
,,
baa70eebd4ae74a099f3646a5a39facb257a9d26,1,
,,
9a79401fa2690b240d3a5db847865af2fab8ac0f,3,
,,
cdc4414e80aca6ea568263f657156db229109673,1,
,,
62ab4c05d8993cfc59c1a298b5897ceaca5065fa,16,
,,
1120679ef5d8b3a5e386be0eddcf6ff7340f1e39,3,
,,
c115e647ad79face0b57240fe3a7e7be2ce85145,1,
,,
a63f6e26c045cfa98c9b8f7d71d857b2cb9d3c2c,1,
,,
356f6fd3051ced00401a8d3932bf7180f90a2d43,3,
,,
d58ed276c13abd00ad0cfe68f296fc990221bfb2,1,
,,
16dcc0cbc21f49f7d50458b94efd54d2ec7095c5,2,
,,
01dc35c35c279fbd84641e588ff518e099b9bdfd,1,
,,
dadd984a891a574cebf3dfd38a454a0e6a4228b3,2,
,,
5008ae5ddc5142bb6a322f340e9c18844079d075,1,
,,
c1209bd1d3f570147f8ef6576452b71e21cb61f8,4,
,,
8677aa1bca4f7c99efd35c5ff2f85ca2bda9c905,1,
,,
c2d53a971d3f26aee8ca9145e13bac281dabd3f1,1,
,,
4bb5f0a071f8bb483815186d013dcc5557352b99,2,
,,
83b74fb4f350d9366d6119df9dea2a1ac6189919,1,
,,
5468a98b36a3c65d9801c265cdd04417a0873bd2,2,
,,
14aea8a26f0adf07a6ae43eb732bc8b086bf42eb,1,
,,
a0af75d6012442c3fff6f0c4fa05b6a2766cd22f,18,
,,
2e9eb2a6a0995aa94248b9b230fefc92feec6b1f,1,
,,
b06b0cc2bd79e10a77155466da8a83459edf371b,5,
,,
